paises,quantidade,valor,ano,derivado_uva
Outros,77789,42028,1971,Vinhos de Mesa
Total,1450155,936854,1971,Vinhos de Mesa
Africa do Sul,0,0,1979,Vinhos de Mesa
Alemanha,433478,691404,1979,Vinhos de Mesa
Argélia,0,0,1979,Vinhos de Mesa
Arábia Saudita,0,0,1979,Vinhos de Mesa
Argentina,646978,888941,1979,Vinhos de Mesa
Armênia,0,0,1979,Vinhos de Mesa
Austrália,0,0,1979,Vinhos de Mesa
Áustria,4250,3756,1979,Vinhos de Mesa
Bermudas,0,0,1979,Vinhos de Mesa
Bélgica,0,0,1979,Vinhos de Mesa
Bolívia,0,0,1979,Vinhos de Mesa
Bósnia-Herzegovina,0,0,1979,Vinhos de Mesa
Brasil,0,0,1979,Vinhos de Mesa
Bulgária,0,0,1979,Vinhos de Mesa
Canada,0,0,1979,Vinhos de Mesa
Chile,4235991,4315227,1979,Vinhos de Mesa
China,0,0,1979,Vinhos de Mesa
"Coreia do Sul, República",0,0,1979,Vinhos de Mesa
Croácia,0,0,1979,Vinhos de Mesa
Cuba,0,0,1979,Vinhos de Mesa
Emirados Árabes Unidos,0,0,1979,Vinhos de Mesa
Eslovênia,0,0,1979,Vinhos de Mesa
Eslováquia,0,0,1979,Vinhos de Mesa
Espanha,103825,92476,1979,Vinhos de Mesa
Estados Unidos,32400,36360,1979,Vinhos de Mesa
França,458369,795004,1979,Vinhos de Mesa
Geórgia,0,0,1979,Vinhos de Mesa
"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,1979,Vinhos de Mesa
Grécia,0,0,1979,Vinhos de Mesa
Hong Kong,0,0,1979,Vinhos de Mesa
Hungria,0,0,1979,Vinhos de Mesa
Indonésia,0,0,1979,Vinhos de Mesa
Irlanda,0,0,1979,Vinhos de Mesa
Israel,0,0,1979,Vinhos de Mesa
Itália,407274,562726,1979,Vinhos de Mesa
Japão,0,0,1979,Vinhos de Mesa
Iugoslávia,2100,2050,1979,Vinhos de Mesa
Líbano,0,0,1979,Vinhos de Mesa
Luxemburgo,0,0,1979,Vinhos de Mesa
Macedônia,0,0,1979,Vinhos de Mesa
Marrocos,0,0,1979,Vinhos de Mesa
México,0,0,1979,Vinhos de Mesa
Moldávia,0,0,1979,Vinhos de Mesa
Montenegro,0,0,1979,Vinhos de Mesa
Noruega,0,0,1979,Vinhos de Mesa
Nova Zelândia,0,0,1979,Vinhos de Mesa
Países Baixos (Holanda),0,0,1979,Vinhos de Mesa
Panamá,0,0,1979,Vinhos de Mesa
Peru,0,0,1979,Vinhos de Mesa
Porto Rico,0,0,1979,Vinhos de Mesa
Portugal,2823760,3493450,1979,Vinhos de Mesa
Reino Unido,0,0,1979,Vinhos de Mesa
Republica Dominicana,0,0,1979,Vinhos de Mesa
Romênia,0,0,1979,Vinhos de Mesa
Rússia,0,0,1979,Vinhos de Mesa
San Marino,0,0,1979,Vinhos de Mesa
Sérvia,0,0,1979,Vinhos de Mesa
Síria,0,0,1979,Vinhos de Mesa
Suazilândia,0,0,1979,Vinhos de Mesa
Suíça,0,0,1979,Vinhos de Mesa
"Tcheca, República",0,0,1979,Vinhos de Mesa
Tunísia,0,0,1979,Vinhos de Mesa
Turquia,0,0,1979,Vinhos de Mesa
Ucrânia,0,0,1979,Vinhos de Mesa
Uruguai,13320,22900,1979,Vinhos de Mesa
Não consta na tabela,0,0,1979,Vinhos de Mesa
Não declarados,0,0,1979,Vinhos de Mesa
Outros,2411,2614,1979,Vinhos de Mesa
Total,9164156,10906908,1979,Vinhos de Mesa
Africa do Sul,0,0,1973,Vinhos de Mesa
Alemanha,111523,98638,1973,Vinhos de Mesa
Argélia,0,0,1973,Vinhos de Mesa
Arábia Saudita,0,0,1973,Vinhos de Mesa
Argentina,116887,76121,1973,Vinhos de Mesa
Armênia,0,0,1973,Vinhos de Mesa
Austrália,0,0,1973,Vinhos de Mesa
Áustria,2310,2081,1973,Vinhos de Mesa
Bermudas,0,0,1973,Vinhos de Mesa
Bélgica,0,0,1973,Vinhos de Mesa
Bolívia,0,0,1973,Vinhos de Mesa
Bósnia-Herzegovina,0,0,1973,Vinhos de Mesa
Brasil,0,0,1973,Vinhos de Mesa
Bulgária,0,0,1973,Vinhos de Mesa
Canada,0,0,1973,Vinhos de Mesa
Chile,301559,212140,1973,Vinhos de Mesa
China,0,0,1973,Vinhos de Mesa
"Coreia do Sul, República",0,0,1973,Vinhos de Mesa
Croácia,0,0,1973,Vinhos de Mesa
