cultivar,quantidade,ano,classificacao_uva
BRANCAS E ROSADAS,0,2022,Viníferas
Aliatico,0,2022,Viníferas
Aligote,0,2022,Viníferas
Altesse,0,2022,Viníferas
Alvarinho,0,2022,Viníferas
Arriloba,0,2022,Viníferas
Auxerrois,0,2022,Viníferas
Burger,0,2022,Viníferas
Chardonnay,0,2022,Viníferas
Chasselas,0,2022,Viníferas
Chenin Blanc,0,2022,Viníferas
Clairette(1),0,2022,Viníferas
Colombard,0,2022,Viníferas
Flora,0,2022,Viníferas
Garganega,0,2022,Viníferas
Gewurztraminer,0,2022,Viníferas
Gouveio,0,2022,Viníferas
Gros Manseng,0,2022,Viníferas
Italia (Pirovano 65) (PE),0,2022,Viníferas
Maccabeo,0,2022,Viníferas
Malvasia,0,2022,Viníferas
Malvasia Amarela,0,2022,Viníferas
Malvasia Bianca,0,2022,Viníferas
Malvasia Chianti,0,2022,Viníferas
Malvasia Verde,0,2022,Viníferas
Malvasia di Candia,0,2022,Viníferas
Malvasia Istriana,0,2022,Viníferas
Mistura de uvas viníferas branco,0,2022,Viníferas
Mistura de uvas viníferas rosado,0,2022,Viníferas
Moscato Branco,0,2022,Viníferas
Moscato Canelli,0,2022,Viníferas
Moscato Giallo,0,2022,Viníferas
Moscato Nazareno,0,2022,Viníferas
Moscato Bianco R2,0,2022,Viníferas
Moscato de Alexandria,0,2022,Viníferas
Moscato Rosado,0,2022,Viníferas
Muscat à Petits Grains,0,2022,Viníferas
Muller Thurgau,0,2022,Viníferas
Muscadelle,0,2022,Viníferas
Ora,0,2022,Viníferas
Palomino,0,2022,Viníferas
Petit Manseng,0,2022,Viníferas
Peverella,0,2022,Viníferas
Pinot Blanc,0,2022,Viníferas
Pinot Gris,0,2022,Viníferas
Prosecco,0,2022,Viníferas
Red Veltliner,0,2022,Viníferas
Riesling Italico,0,2022,Viníferas
Riesling Renano,0,2022,Viníferas
Sauvignon Blanc(2),0,2022,Viníferas
Sauvignon Gris,0,2022,Viníferas
Seara Nova,0,2022,Viníferas
Semillon,0,2022,Viníferas
Schonburger,0,2022,Viníferas
Sylvaner,0,2022,Viníferas
Tocai Friulano,0,2022,Viníferas
Trebbiano,0,2022,Viníferas
Trebbiano Toscano,0,2022,Viníferas
Verdea,0,2022,Viníferas
Verdelho,0,2022,Viníferas
Verdiso,0,2022,Viníferas
Vermentino,0,2022,Viníferas
Vernaccia,0,2022,Viníferas
Viogner,0,2022,Viníferas
Viognier,0,2022,Viníferas
Outras(3),0,2022,Viníferas
Total,0,2022,Viníferas
TINTAS,35881118,2023,Viníferas
Alicante Bouschet,4108858,2023,Viníferas
Ancelota,783688,2023,Viníferas
Aramon,0,2023,Viníferas
Alfrocheiro,0,2023,Viníferas
Arinarnoa,147979,2023,Viníferas
Aspirant Bouschet,138338,2023,Viníferas
Barbera,35292,2023,Viníferas
Bonarda,7800,2023,Viníferas
Cabernet Franc,2152213,2023,Viníferas
Cabernet Sauvignon,5917173,2023,Viníferas
Caladoc,8310,2023,Viníferas
Campanario,0,2023,Viníferas
Canaiolo,0,2023,Viníferas
Carignan,0,2023,Viníferas
Carmenere,14360,2023,Viníferas
Castelão,0,2023,Viníferas
Corvina,2200,2023,Viníferas
Croatina,0,2023,Viníferas
Cinsaut,0,2023,Viníferas
Dom Felder,0,2023,Viníferas
Dolcetto,0,2023,Viníferas
Durif,0,2023,Viníferas
Egiodola,1439540,2023,Viníferas
Ekigaina,1000,2023,Viníferas
Festival (Sugraone),0,2023,Viníferas
Franconia,0,2023,Viníferas
Freisa,0,2023,Viníferas
Gamay St Romain,0,2023,Viníferas
Gamay Beaujolais,126667,2023,Viníferas
Grand Noir,0,2023,Viníferas
Grenache,830,2023,Viníferas
Jaen,0,2023,Viníferas
Lagrein,3100,2023,Viníferas
Lambrusco,15620,2023,Viníferas
Malbec,584141,2023,Viníferas
Marzemina,390,2023,Viníferas
Merlot,7179442,2023,Viníferas
Marselan,988860,2023,Viníferas
Mistura de uvas viníferas tinto,700,2023,Viníferas
Molinera,2600,2023,Viníferas
Montepulciano,42503,2023,Viníferas
Moscato Bailey,170188,2023,Viníferas
Napa Gamay,0,2023,Viníferas
Nebbiolo,26788,2023,Viníferas
Petit Verdot,207896,2023,Viníferas
Petite Sirah,173887,2023,Viníferas
Pinotage,397456,2023,Viníferas
Pinot Noir,4182135,2023,Viníferas
Pinot Saint George,5060,2023,Viníferas
Piriquita,0,2023,Viníferas
Primitivo,1650,2023,Viníferas
Rebo,330784,2023,Viníferas
Refosco,0,2023,Viníferas
Rondinella,5280,2023,Viníferas
Ruby Cabernet,163069,2023,Viníferas
Sangiovese,92540,2023,Viníferas
Saperavi,13323,2023,Viníferas
Sira (falsa),0,2023,Viníferas
Tannat,5712207,2023,Viníferas
Tempranillo,375165,2023,Viníferas
Teroldego,123714,2023,Viníferas
Torrontes,23500,2023,Viníferas
Tinta Barroca,0,2023,Viníferas
Tinta Roriz,3006,2023,Viníferas
Touriga Francesa,0,2023,Viníferas
Touriga Nacional,171866,2023,Viníferas
Tinta Madeira,0,2023,Viníferas
Tintoria,0,2023,Viníferas
Trincdeira,0,2023,Viníferas
Trousseau,0,2023,Viníferas
Zinfandel,0,2023,Viníferas
Outras1,0,2023,Viníferas
BRANCAS E ROSADAS,63676298,2023,Viníferas
Aliatico,0,2023,Viníferas
Aligote,0,2023,Viníferas
Altesse,0,2023,Viníferas
Alvarinho,150467,2023,Viníferas
Arriloba,0,2023,Viníferas
Auxerrois,0,2023,Viníferas
Burger,0,2023,Viníferas
