produto,quantidade,ano
VINHO DE MESA,217208604,1970
Tinto,174224052,1970
Branco,748400,1970
Rosado,42236152,1970
VINHO FINO DE MESA (VINIFERA),23899346,1970
Tinto,7591557,1970
Branco,15562889,1970
Rosado,744900,1970
SUCO,1097771,1970
Suco de uva integral,1097771,1970
Suco de uva concentrado,0,1970
Suco de uva adoçado,0,1970
Suco de uva orgânico,0,1970
Suco de uva reconstituído,0,1970
DERIVADOS,14164329,1970
Espumante,0,1970
Espumante moscatel,0,1970
Base espumante,0,1970
Base espumante moscatel,0,1970
Base Champenoise champanha,0,1970
Base Charmat champanha,0,1970
Bebida de uva,0,1970
Polpa de uva,0,1970
Mosto simples,7170736,1970
Mosto concentrado,0,1970
Mosto de uva com bagaço,0,1970
Mosto dessulfitado,0,1970
Mistelas,1072100,1970
Néctar de uva,0,1970
Licorosos,282500,1970
Compostos,0,1970
Jeropiga,0,1970
Filtrado,0,1970
Frisante,0,1970
Vinho leve,0,1970
Vinho licoroso,0,1970
Brandy,0,1970
Destilado,830030,1970
Bagaceira,961290,1970
Licor de bagaceira,0,1970
Vinagre,0,1970
Borra líquida,3847673,1970
Borra seca,0,1970
Vinho Composto,0,1970
Pisco,0,1970
Vinho orgânico,0,1970
Espumante orgânico,0,1970
Destilado alcoólico simples de bagaceira,0,1970
Vinho acidificado,0,1970
Mosto parcialmente fermentado,0,1970
Outros derivados,0,1970
Total,256370050,1970
VINHO DE MESA,193875345,1974
Tinto,146544484,1974
Branco,4138768,1974
Rosado,43192093,1974
VINHO FINO DE MESA (VINIFERA),31644124,1974
Tinto,10047658,1974
Branco,18927471,1974
Rosado,2668995,1974
SUCO,0,1974
Suco de uva integral,0,1974
Suco de uva concentrado,0,1974
Suco de uva adoçado,0,1974
Suco de uva orgânico,0,1974
Suco de uva reconstituído,0,1974
DERIVADOS,47904934,1974
Espumante,0,1974
Espumante moscatel,0,1974
Base espumante,0,1974
Base espumante moscatel,0,1974
Base Champenoise champanha,0,1974
Base Charmat champanha,0,1974
Bebida de uva,0,1974
Polpa de uva,0,1974
Mosto simples,41346735,1974
Mosto concentrado,0,1974
Mosto de uva com bagaço,0,1974
Mosto dessulfitado,0,1974
Mistelas,826300,1974
Néctar de uva,0,1974
Licorosos,135000,1974
Compostos,0,1974
Jeropiga,0,1974
Filtrado,0,1974
Frisante,0,1974
Vinho leve,0,1974
Vinho licoroso,0,1974
Brandy,0,1974
Destilado,0,1974
Bagaceira,424620,1974
Licor de bagaceira,0,1974
Vinagre,35300,1974
Borra líquida,5136979,1974
Borra seca,0,1974
Vinho Composto,0,1974
Pisco,0,1974
Vinho orgânico,0,1974
Espumante orgânico,0,1974
Destilado alcoólico simples de bagaceira,0,1974
Vinho acidificado,0,1974
Mosto parcialmente fermentado,0,1974
Outros derivados,0,1974
Total,273424403,1974
VINHO DE MESA,211252982,1979
Tinto,154736439,1979
Branco,7146395,1979
Rosado,49370148,1979
VINHO FINO DE MESA (VINIFERA),46129710,1979
Tinto,14356453,1979
Branco,25727132,1979
Rosado,6046125,1979
SUCO,0,1979
Suco de uva integral,0,1979
Suco de uva concentrado,0,1979
Suco de uva adoçado,0,1979
Suco de uva orgânico,0,1979
Suco de uva reconstituído,0,1979
DERIVADOS,35370846,1979
Espumante,0,1979
Espumante moscatel,0,1979
Base espumante,0,1979
Base espumante moscatel,0,1979
Base Champenoise champanha,0,1979
Base Charmat champanha,0,1979
Bebida de uva,0,1979
Polpa de uva,0,1979
Mosto simples,34318456,1979
Mosto concentrado,0,1979
Mosto de uva com bagaço,0,1979
Mosto dessulfitado,0,1979
Mistelas,60300,1979
Néctar de uva,0,1979
Licorosos,34000,1979
Compostos,0,1979
Jeropiga,20000,1979
Filtrado,0,1979
Frisante,0,1979
Vinho leve,0,1979
Vinho licoroso,0,1979
Brandy,0,1979
Destilado,0,1979
Bagaceira,938090,1979
Licor de bagaceira,0,1979
Vinagre,0,1979
Borra líquida,0,1979
Borra seca,0,1979
Vinho Composto,0,1979
Pisco,0,1979
Vinho orgânico,0,1979
Espumante orgânico,0,1979
Destilado alcoólico simples de bagaceira,0,1979
Vinho acidificado,0,1979
Mosto parcialmente fermentado,0,1979
Outros derivados,0,1979
Total,292753538,1979
VINHO DE MESA,146953297,1972
Tinto,118180926,1972
Branco,1812367,1972
Rosado,26960004,1972
VINHO FINO DE MESA (VINIFERA),21078771,1972
Tinto,6782837,1972
Branco,13289304,1972
Rosado,1006630,1972
SUCO,3509440,1972
Suco de uva integral,3509440,1972
Suco de uva concentrado,0,1972
Suco de uva adoçado,0,1972
Suco de uva orgânico,0,1972
Suco de uva reconstituído,0,1972
DERIVADOS,12314509,1972
Espumante,0,1972
Espumante moscatel,0,1972
Base espumante,0,1972
Base espumante moscatel,0,1972
Base Champenoise champanha,0,1972
Base Charmat champanha,0,1972
Bebida de uva,0,1972
Polpa de uva,0,1972
Mosto simples,6051822,1972
Mosto concentrado,0,1972
Mosto de uva com bagaço,0,1972
Mosto dessulfitado,0,1972
Mistelas,871200,1972
Néctar de uva,0,1972
Licorosos,254600,1972
Compostos,1358300,1972
Jeropiga,0,1972
Filtrado,0,1972
Frisante,0,1972
Vinho leve,0,1972
Vinho licoroso,0,1972
Brandy,0,1972
Destilado,0,1972
Bagaceira,755350,1972
Licor de bagaceira,0,1972
Vinagre,8200,1972
Borra líquida,3015037,1972
Borra seca,0,1972
Vinho Composto,0,1972
Pisco,0,1972
Vinho orgânico,0,1972
Espumante orgânico,0,1972
Destilado alcoólico simples de bagaceira,0,1972
Vinho acidificado,0,1972
Mosto parcialmente fermentado,0,1972
Outros derivados,0,1972
Total,183856017,1972
VINHO DE MESA,144565438,1976
Tinto,118360170,1976
Branco,1871473,1976
Rosado,24333795,1976
VINHO FINO DE MESA (VINIFERA),34500590,1976
Tinto,12405154,1976
Branco,19874659,1976
Rosado,2220777,1976
SUCO,0,1976
Suco de uva integral,0,1976
Suco de uva concentrado,0,1976
Suco de uva adoçado,0,1976
Suco de uva orgânico,0,1976
Suco de uva reconstituído,0,1976
DERIVADOS,22925012,1976
Espumante,0,1976
Espumante moscatel,0,1976
Base espumante,0,1976
Base espumante moscatel,0,1976
Base Champenoise champanha,0,1976
Base Charmat champanha,0,1976
Bebida de uva,0,1976
Polpa de uva,0,1976
Mosto simples,18220527,1976
Mosto concentrado,0,1976
Mosto de uva com bagaço,0,1976
Mosto dessulfitado,0,1976
Mistelas,205500,1976
Néctar de uva,0,1976
Licorosos,4400,1976
Compostos,0,1976
Jeropiga,107500,1976
Filtrado,0,1976
Frisante,0,1976
